778  3
0.045701  -0.012755  0.022737
0.056330  -0.016967  0.023488
0.049910  -0.019952  0.033660
0.040083  -0.015972  0.031227
0.072459  -0.022903  0.040184
0.080571  -0.017162  0.046792
0.066963  -0.017353  0.055584
0.061836  -0.022758  0.049108
0.034964  -0.014841  0.039004
0.044085  -0.020225  0.041107
0.034248  -0.007481  0.044069
0.026867  -0.000544  0.041769
0.027429  -0.008016  0.038161
0.019950  0.002757  0.039784
0.033449  0.009172  0.041449
0.021168  0.011485  0.035695
0.041213  0.021626  0.017705
0.044915  0.022428  0.005195
0.029017  0.021045  0.003459
0.026707  0.019636  0.016520
0.039734  0.017347  -0.013688
0.032820  0.019651  -0.004583
0.048837  0.022126  -0.002819
0.054161  0.019864  -0.011269
0.054468  -0.008317  0.008870
0.065056  -0.010423  0.007861
0.062032  -0.012368  0.012971
0.052143  -0.009499  0.013856
0.040467  0.000163  0.054791
0.045080  0.004540  0.050594
0.037988  0.000882  0.047380
0.037587  -0.004547  0.052702
0.091770  -0.016552  -0.000333
0.103636  -0.010650  0.002027
0.102868  -0.010180  0.007867
0.092040  -0.015409  0.004301
0.096359  -0.012871  0.031310
0.102443  -0.007510  0.026174
0.106865  0.002052  0.035587
0.099021  0.000491  0.039596
0.089101  -0.016015  0.039136
0.092351  -0.004735  0.045180
0.082758  -0.006482  0.050984
0.069106  -0.008737  0.058895
0.105185  -0.008832  -0.010643
0.096868  -0.013354  -0.014136
-0.030204  -0.001801  0.035132
-0.031119  -0.003439  0.029675
-0.025947  -0.003625  0.029651
-0.025876  -0.001794  0.034992
0.098566  0.005417  -0.023320
0.097120  0.015429  -0.022500
0.104310  0.014270  -0.022697
0.105857  0.005014  -0.021573
0.088855  0.005748  -0.025433
0.087082  0.016321  -0.021673
-0.031364  0.010812  0.036102
-0.031158  0.006343  0.038548
-0.026526  0.007724  0.038480
-0.026585  0.012111  0.035578
0.030987  -0.011776  0.031562
0.036081  -0.011540  0.023105
0.011417  -0.009217  0.028620
0.022252  -0.009430  0.025273
0.022125  -0.008697  0.032607
0.013511  -0.007020  0.034598
0.032195  -0.007348  0.003686
0.043946  -0.007084  0.004987
0.040874  -0.007331  0.010805
0.027802  -0.008249  0.011093
0.048224  -0.009901  -0.008218
0.036231  -0.009593  -0.008444
0.039869  -0.011410  -0.015908
0.047898  -0.012152  -0.014387
0.014500  -0.007646  -0.006074
0.005930  -0.004841  -0.006358
0.006855  -0.003626  -0.009492
0.015850  -0.007095  -0.009475
0.111366  0.014244  -0.022434
0.112617  0.005063  -0.019027
0.049473  0.009558  -0.030747
0.055475  0.001697  -0.035663
0.044631  -0.000541  -0.039333
0.041344  0.008161  -0.033161
0.093954  0.023132  -0.016209
0.101470  0.023035  -0.018512
-0.032056  0.013399  0.030590
-0.027319  0.014181  0.029929
0.081048  0.004716  0.048767
0.067573  0.000539  0.057351
0.091240  0.007888  0.042721
0.098366  0.011244  0.038316
